TimeStamp,CORN
2020-06-15 00:00:00,329.25
2020-06-16 00:00:00,329.0
2020-06-17 00:00:00,330.25
2020-06-18 00:00:00,331.0
2020-06-19 00:00:00,332.5
2020-06-22 00:00:00,328.25
2020-06-23 00:00:00,325.0
2020-06-24 00:00:00,324.25
2020-06-25 00:00:00,317.25
2020-06-26 00:00:00,317.0
2020-06-30 00:00:00,338.5
2020-07-01 00:00:00,348.25
2020-07-02 00:00:00,342.5
2020-07-06 00:00:00,346.5
2020-07-07 00:00:00,345.0
2020-07-08 00:00:00,348.25
2020-07-09 00:00:00,351.25
2020-07-10 00:00:00,340.5
2020-07-13 00:00:00,334.0
2020-07-14 00:00:00,334.75
2020-07-15 00:00:00,326.25
2020-07-16 00:00:00,330.25
2020-07-17 00:00:00,333.0
2020-07-20 00:00:00,328.25
2020-07-21 00:00:00,322.75
2020-07-22 00:00:00,327.5
2020-07-23 00:00:00,328.0
2020-07-24 00:00:00,326.25
2020-07-27 00:00:00,325.0
2020-07-28 00:00:00,320.0
2020-07-29 00:00:00,315.5
2020-07-30 00:00:00,315.75
2020-07-31 00:00:00,316.0
2020-08-03 00:00:00,317.5
2020-08-04 00:00:00,308.25
2020-08-05 00:00:00,311.0
2020-08-06 00:00:00,311.25
2020-08-07 00:00:00,307.75
2020-08-10 00:00:00,310.5
2020-08-11 00:00:00,311.5
